72000,1.96E-12
72300,1.98E-12
72600,2.00E-12
72900,2.01E-12
73200,2.03E-12
73500,2.05E-12
73800,2.06E-12
74100,2.08E-12
74400,2.10E-12
74700,2.12E-12
75000,2.13E-12
75300,2.15E-12
75600,2.17E-12
75900,2.19E-12
76200,2.20E-12
76500,2.22E-12
76800,2.24E-12
77100,2.26E-12
77400,2.28E-12
77700,2.29E-12
78000,2.31E-12
78300,2.33E-12
78600,2.35E-12
78900,2.37E-12
79200,2.39E-12
79500,2.40E-12
79800,2.42E-12
80100,2.44E-12
80400,2.46E-12
80700,2.48E-12
81000,2.50E-12
81300,2.52E-12
81600,2.54E-12
81900,2.56E-12
82200,2.57E-12
82500,2.59E-12
82800,2.61E-12
83100,2.63E-12
83400,2.65E-12
83700,2.67E-12
84000,2.69E-12
84300,2.71E-12
84600,2.73E-12
84900,2.75E-12
85200,2.77E-12
85500,2.79E-12
85800,2.81E-12
86100,2.83E-12
86400,2.85E-12
86700,2.87E-12
87000,2.89E-12
87300,2.92E-12
87600,2.94E-12
87900,2.96E-12
88200,2.98E-12
88500,3.00E-12
88800,3.02E-12
89100,3.04E-12
89400,3.06E-12
89700,3.08E-12
90000,3.10E-12
90300,3.13E-12
90600,3.15E-12
90900,3.17E-12
91200,3.19E-12
91500,3.21E-12
91800,3.23E-12
92100,3.26E-12
92400,3.28E-12
92700,3.30E-12
93000,3.32E-12
93300,3.35E-12
93600,3.37E-12
93900,3.39E-12
94200,3.41E-12
94500,3.44E-12
94800,3.46E-12
95100,3.48E-12
95400,3.50E-12
95700,3.53E-12
96000,3.55E-12
96300,3.57E-12
96600,3.60E-12
96900,3.62E-12
97200,3.64E-12
97500,3.67E-12
97800,3.69E-12
98100,3.71E-12
98400,3.74E-12
98700,3.76E-12
99000,3.78E-12
99300,3.81E-12
99600,3.83E-12
99900,3.86E-12
100200,3.88E-12
100500,3.90E-12
100800,3.93E-12
101100,3.95E-12
101400,3.98E-12
101700,4.00E-12
102000,4.03E-12
102300,4.05E-12
102600,4.08E-12
102900,4.10E-12
103200,4.13E-12
103500,4.15E-12
103800,4.18E-12
104100,4.20E-12
104400,4.23E-12
104700,4.25E-12
105000,4.28E-12
105300,4.31E-12
105600,4.33E-12
105900,4.36E-12
106200,4.38E-12
106500,4.41E-12
106800,4.43E-12
107100,4.46E-12
107400,4.49E-12
107700,4.51E-12
108000,4.54E-12
108300,4.57E-12
108600,4.59E-12
108900,4.62E-12
109200,4.65E-12
109500,4.67E-12
109800,4.70E-12
110100,4.73E-12
110400,4.75E-12
110700,4.78E-12
111000,4.81E-12
111300,4.84E-12
111600,4.86E-12
111900,4.89E-12
112200,4.92E-12
112500,4.95E-12
112800,4.98E-12
113100,5.00E-12
113400,5.03E-12
113700,5.06E-12
114000,5.09E-12
114300,5.12E-12
114600,5.14E-12
114900,5.17E-12
115200,5.20E-12
115500,5.23E-12
115800,5.26E-12
116100,5.29E-12
116400,5.32E-12
116700,5.35E-12
117000,5.38E-12
117300,5.40E-12
117600,5.43E-12
117900,5.46E-12
118200,5.49E-12
118500,5.52E-12
118800,5.55E-12
119100,5.58E-12
119400,5.61E-12
119700,5.64E-12
120000,5.67E-12
120300,5.70E-12
120600,5.73E-12
120900,5.76E-12
121200,5.79E-12
121500,5.82E-12
121800,5.85E-12
122100,5.88E-12
122400,5.92E-12
122700,5.95E-12
123000,5.98E-12
123300,6.01E-12
123600,6.04E-12
123900,6.07E-12
124200,6.10E-12
124500,6.13E-12
124800,6.17E-12
125100,6.20E-12
125400,6.23E-12
125700,6.26E-12
126000,6.29E-12
126300,6.33E-12
126600,6.36E-12
126900,6.39E-12
127200,6.42E-12
127500,6.45E-12
127800,6.49E-12
128100,6.52E-12
128400,6.55E-12
128700,6.59E-12
129000,6.62E-12
129300,6.65E-12
129600,6.68E-12
129900,6.72E-12
130200,6.75E-12
130500,6.78E-12
130800,6.82E-12
131100,6.85E-12
131400,6.89E-12
131700,6.92E-12
132000,6.95E-12
132300,6.99E-12
132600,7.02E-12
132900,7.06E-12
133200,7.09E-12
133500,7.12E-12
133800,7.16E-12
134100,7.19E-12
134400,7.23E-12
134700,7.26E-12
135000,7.30E-12
135300,7.33E-12
135600,7.37E-12
135900,7.40E-12
136200,7.44E-12
136500,7.47E-12
136800,7.51E-12
137100,7.55E-12
137400,7.58E-12
137700,7.62E-12
